,statename,year,mood,democrat,republican,liberal,conservative,mood_d2
1787,New York,1983.0,46.128,44.78465447235536,25.79384190180104,24.878756348505192,30.297691859676128,43.596
1788,New York,1984.0,46.879,40.943168401025915,29.781533969414774,21.981133917668036,21.80761611544054,46.546
1789,New York,1985.0,48.776,35.7991299947503,28.83914569896062,23.850694116735426,21.952468351346948,51.868
1790,New York,1986.0,49.685,37.351595003644256,28.113094925970856,24.30712721265811,23.56438111369831,53.512
1791,New York,1987.0,50.786,38.02699331529681,31.14984098591246,28.08327322652891,25.680018533154715,51.989
1792,New York,1988.0,49.511,40.25980020315482,31.588867323988318,26.135251802713782,26.25441198358959,52.047
1793,New York,1989.0,48.755,36.34122253473287,26.42839586566727,27.422412838410654,25.164181826966253,52.503
1794,New York,1990.0,50.069,38.225390029779106,34.678527356503245,30.385469285177503,35.74227928952694,51.183
1795,New York,1991.0,47.131,29.252852306933576,29.6249197457156,32.24203251409272,37.60063913021048,50.906
1796,New York,1992.0,46.518,39.53080777949296,25.617371867555427,21.768621651331703,27.372966178557167,51.599
1797,New York,1993.0,46.672,33.66185220686356,27.42225294878117,20.85758196465846,29.724547956933257,52.72
1798,New York,1994.0,41.387,33.837338510349774,23.810492155629326,13.131008374349173,28.698483867048896,50.851
1799,New York,1995.0,39.391,29.34050660714174,21.993462711636774,17.91639585314826,27.573416768632946,51.466
1800,New York,1996.0,35.842,36.03715640507226,20.003142831316026,15.524991513528965,23.03074500086969,50.74
1801,New York,1997.0,38.065,35.032010316198125,17.917109715407094,18.079342859537935,25.243339708615714,54.46
1802,New York,1998.0,34.718,29.60143434732973,19.411699186485368,17.202827825041037,22.890458804926702,51.418
1803,New York,1999.0,33.121,28.803417992683844,19.39168206939229,18.052544582779653,24.133051998178132,52.075
1804,New York,2000.0,40.456,39.09591811269447,26.111900579523343,23.918596151076272,25.394652080991154,56.066
1805,New York,2001.0,44.369,39.07996125679502,26.87305142205458,21.216514886738075,26.117847044057342,60.751
1806,New York,2002.0,46.182,38.420104036072175,23.775632716131643,25.64393509347446,27.42535990718667,59.22
1807,New York,2003.0,50.393,36.722724519510024,24.468957402538564,26.643236561226058,30.381137788973785,54.61
1808,New York,2004.0,48.164,40.10890812444185,30.395791030518783,23.5058712964018,30.0713439902019,54.492
1809,New York,2005.0,44.482,39.74102969551313,28.33450214974783,23.985559267562177,34.224913595389715,59.32
1810,New York,2006.0,43.882,38.78275058875544,26.213692630244374,26.92054512385865,32.2863704195561,61.267
1811,New York,2007.0,50.454,37.18371039017686,20.101833642109064,27.59515904861352,33.49632339441818,60.329
1812,New York,2008.0,48.122,37.91762856324002,22.553800553796687,28.47228042194192,26.84647077829615,54.834
1813,New York,2009.0,45.613,41.86928653632077,20.9389100865033,28.748893636514744,31.869432688493138,53.213
1814,New York,2010.0,44.561,42.015175604179134,21.974710028524992,27.28226444387168,29.342600374442185,52.124
1815,North Carolina,1956.0,44.735,59.63943284726607,21.7944917869339,,,47.779
1816,North Carolina,1957.0,42.064,47.53806015334398,27.468590205646628,,,51.184
1817,North Carolina,1958.0,51.389,60.51276399432124,20.525510358423457,,,44.338
1818,North Carolina,1959.0,49.233,62.76398345975372,20.91517178204144,,,42.693
1819,North Carolina,1960.0,53.077,53.65237451343127,22.282884121565605,,,52.014
1820,North Carolina,1961.0,54.066,59.99313324193019,27.094268900960465,,,42.015
1821,North Carolina,1962.0,56.138,59.71244907702752,18.989970669071397,,,44.786
1822,North Carolina,1963.0,57.441,55.2441886119389,20.12490427319926,,,43.957
1823,North Carolina,1964.0,56.091,58.71357316671089,18.114892645884993,,,39.146
1824,North Carolina,1965.0,56.3,60.55727984997665,15.20380837774493,,,42.106
1825,North Carolina,1966.0,53.102,58.81787529523565,19.325650854027653,,,48.434
1826,North Carolina,1967.0,48.473,46.83649170610581,25.112436522779763,,,41.489
1827,North Carolina,1968.0,46.541,52.364434335537055,22.276622964744202,,,42.902
1828,North Carolina,1969.0,45.075,45.64402915657451,22.652576680026204,,,46.808
1829,North Carolina,1970.0,41.719,54.74021168406241,21.441534470517638,,,48.826
1830,North Carolina,1971.0,43.926,54.001029580218315,21.805288919249495,,,50.737
1831,North Carolina,1972.0,44.373,50.13782070324206,23.594604106193053,,,48.485
1832,North Carolina,1973.0,45.788,47.08941784239124,22.883561016631745,,,52.088
1833,North Carolina,1974.0,44.277,49.153520645995094,23.72883334466528,,,51.935
1834,North Carolina,1975.0,46.441,44.88141434238015,18.76664515595011,,,50.345
1835,North Carolina,1976.0,44.638,44.26215180270027,24.880934077947163,19.878405839842443,32.037821845178776,51.438
1836,North Carolina,1977.0,44.067,52.26108610474762,29.42801526535141,17.44624327226275,26.34861074128438,51.737
1837,North Carolina,1978.0,43.359,55.65082116257418,20.688966157597573,20.334372029453345,35.790110601275394,51.661
1838,North Carolina,1979.0,40.966,53.53248263830112,22.156594126147986,20.439487824271218,40.89886556581451,52.831
1839,North Carolina,1980.0,38.876,53.864283359177826,19.0658174700149,16.54052677483426,29.226232536807967,53.113
1840,North Carolina,1981.0,39.196,55.43019011044294,21.561412623436794,20.428639322691737,39.378522533295055,51.727
1841,North Carolina,1982.0,42.197,50.79227881056132,29.97132394629923,19.617565812293652,34.00689233151252,47.333
1842,North Carolina,1983.0,42.813,50.681853037909384,22.258174337003638,19.329859515974324,42.32272885342432,46.835
1843,North Carolina,1984.0,41.153,46.86742423542539,33.08422994632165,16.418641740773907,29.091636778038705,45.34
1844,North Carolina,1985.0,42.112,46.82877082360945,28.030459774967458,21.09621435748797,28.54857032673051,42.036
1845,North Carolina,1986.0,43.908,46.26835493261417,27.796082230405084,17.98003354163017,31.87849129041458,39.912
1846,North Carolina,1987.0,45.148,44.45066076058822,33.0047907116901,20.079351436581383,36.25305951637203,39.837
1847,North Carolina,1988.0,43.762,46.30949054493689,31.37553515474547,16.751195320308497,35.196799165471724,38.282
1848,North Carolina,1989.0,45.646,39.94927875893511,29.372800253366808,24.102395943941755,30.59148494520197,37.795
1849,North Carolina,1990.0,46.405,43.09901454365923,31.218177830240236,25.1611418901665,45.57766108579312,38.93
1850,North Carolina,1991.0,44.423,41.38336679879011,30.77207960380994,27.578552877038064,44.88932990287217,39.683
1851,North Carolina,1992.0,41.817,37.88683399788317,30.632988032798025,17.346315137193077,37.96927906424255,38.756
1852,North Carolina,1993.0,41.364,33.28665230422821,30.787245707312206,13.440691837737951,38.38554095124435,41.592
